epoch: 0    train_acc: 0.5602209944531843     train_loss: 0.8581584609015871     valid_acc: 0.6526548679599368      valid_loss: 0.6296414070073131
epoch: 1    train_acc: 0.6690607735684783     train_loss: 0.6415441769262704     valid_acc: 0.7212389364706732      valid_loss: 0.5474433462880003
epoch: 2    train_acc: 0.6935543277865176     train_loss: 0.597337816850476     valid_acc: 0.7529498519798999      valid_loss: 0.5092936735765069
epoch: 3    train_acc: 0.7222836096203349     train_loss: 0.5522165175740011     valid_acc: 0.7750737478951085      valid_loss: 0.48432453912971296
epoch: 4    train_acc: 0.7313075505128442     train_loss: 0.5310535190294241     valid_acc: 0.7846607657308775      valid_loss: 0.46732890685047723
epoch: 5    train_acc: 0.7453038671179152     train_loss: 0.5203809521035815     valid_acc: 0.7942477874347945      valid_loss: 0.45468628898834407
epoch: 6    train_acc: 0.7583793739807101     train_loss: 0.48907590215377383     valid_acc: 0.8045722717380805      valid_loss: 0.44361393078941863
epoch: 7    train_acc: 0.7718232042881665     train_loss: 0.4845657349730504     valid_acc: 0.8082595873722987      valid_loss: 0.433899417827263
epoch: 8    train_acc: 0.766666666754482     train_loss: 0.4764948220542781     valid_acc: 0.8141592929145228      valid_loss: 0.4256145423140849
epoch: 9    train_acc: 0.774217311475378     train_loss: 0.47580399071972673     valid_acc: 0.8171091454218974      valid_loss: 0.4189734365736137
epoch: 10    train_acc: 0.7799263349334619     train_loss: 0.46661306329853625     valid_acc: 0.8237463140909651      valid_loss: 0.4125659002491155
epoch: 11    train_acc: 0.7808471452465373     train_loss: 0.4611076726109942     valid_acc: 0.8244837772178087      valid_loss: 0.40664805405962784
epoch: 12    train_acc: 0.7930018417523491     train_loss: 0.4456587432497773     valid_acc: 0.8303834794193594      valid_loss: 0.40104098771877345
epoch: 13    train_acc: 0.7887661140926635     train_loss: 0.4423196438157976     valid_acc: 0.8362831844341087      valid_loss: 0.39652792841283974
epoch: 14    train_acc: 0.7985267037405713     train_loss: 0.43327792687530237     valid_acc: 0.8384955738146397      valid_loss: 0.39156506731446866
epoch: 15    train_acc: 0.7990791899723243     train_loss: 0.43269929015394953     valid_acc: 0.8407079631951706      valid_loss: 0.3879605595868597
epoch: 16    train_acc: 0.7957642724281297     train_loss: 0.43526082461490595     valid_acc: 0.8414454263220142      valid_loss: 0.384306959082595
epoch: 17    train_acc: 0.7979742171136495     train_loss: 0.4311510327990762     valid_acc: 0.8436578157025453      valid_loss: 0.3810759826747365
epoch: 18    train_acc: 0.8001841622382457     train_loss: 0.42628343951636255     valid_acc: 0.8473451318642383      valid_loss: 0.3774101067784965
epoch: 19    train_acc: 0.8040515653994861     train_loss: 0.42396591495633346     valid_acc: 0.8488200581179256      valid_loss: 0.37459060523362286
epoch: 20    train_acc: 0.8082872929494025     train_loss: 0.4190610847969301     valid_acc: 0.8517699106253003      valid_loss: 0.3717657725895401
epoch: 21    train_acc: 0.8044198893710395     train_loss: 0.4189868390669919     valid_acc: 0.8525073737521439      valid_loss: 0.36941219448691626
epoch: 22    train_acc: 0.8103130754186304     train_loss: 0.4148713913082418     valid_acc: 0.8532448374064623      valid_loss: 0.3670384314207904
epoch: 23    train_acc: 0.8099447516666153     train_loss: 0.41035215235546807     valid_acc: 0.8569321535681553      valid_loss: 0.3647103866996315
epoch: 24    train_acc: 0.8116022101423358     train_loss: 0.41419789637430376     valid_acc: 0.857669616694999      valid_loss: 0.36249116581801466
epoch: 25    train_acc: 0.8119705338284895     train_loss: 0.4082491734958705     valid_acc: 0.8598820060755299      valid_loss: 0.3601657501188351
epoch: 26    train_acc: 0.8219152853633818     train_loss: 0.39796406389600003     valid_acc: 0.8606194692023735      valid_loss: 0.35789900675284125
epoch: 27    train_acc: 0.8176795582964494     train_loss: 0.3992837557915605     valid_acc: 0.8628318585829046      valid_loss: 0.35584880037996974
epoch: 28    train_acc: 0.8136279926554714     train_loss: 0.4029189040976993     valid_acc: 0.8628318585829046      valid_loss: 0.3540782167144933
epoch: 29    train_acc: 0.8149171273133153     train_loss: 0.39938983745996465     valid_acc: 0.8628318585829046      valid_loss: 0.3526041210576848
epoch: 30    train_acc: 0.8263351752393593     train_loss: 0.39088908978369136     valid_acc: 0.8643067848365918      valid_loss: 0.3512291575075954
epoch: 31    train_acc: 0.8211786372226905     train_loss: 0.38960148365019     valid_acc: 0.8665191742171229      valid_loss: 0.349806768001005
epoch: 32    train_acc: 0.825414364772607     train_loss: 0.39158397895416064     valid_acc: 0.8672566373439665      valid_loss: 0.34817924066982436
epoch: 33    train_acc: 0.8198895029380616     train_loss: 0.39515917367039466     valid_acc: 0.8672566373439665      valid_loss: 0.34636164898366
epoch: 34    train_acc: 0.8243093925066854     train_loss: 0.3836179105506637     valid_acc: 0.8679941004708102      valid_loss: 0.3448870727973702
epoch: 35    train_acc: 0.8283609574451412     train_loss: 0.38479364938059785     valid_acc: 0.8679941004708102      valid_loss: 0.34327152309867837
epoch: 36    train_acc: 0.8265193371922052     train_loss: 0.38354889245542595     valid_acc: 0.8702064898513411      valid_loss: 0.34164926972361087
epoch: 37    train_acc: 0.8243093922212857     train_loss: 0.3834550670058249     valid_acc: 0.8702064898513411      valid_loss: 0.34028855731002
epoch: 38    train_acc: 0.8289134440062015     train_loss: 0.38425014219889986     valid_acc: 0.8702064898513411      valid_loss: 0.33883759467299357
epoch: 39    train_acc: 0.8375690608393421     train_loss: 0.3739072706159307     valid_acc: 0.8716814161050285      valid_loss: 0.3372580837183646
epoch: 40    train_acc: 0.82596685100436     train_loss: 0.3855729391781226     valid_acc: 0.8724188792318721      valid_loss: 0.33618196106590004
epoch: 41    train_acc: 0.8329650091202878     train_loss: 0.3760093083807557     valid_acc: 0.8724188792318721      valid_loss: 0.33482264909772397
epoch: 42    train_acc: 0.8399631675435694     train_loss: 0.36965096478743226     valid_acc: 0.8738938054855594      valid_loss: 0.333596125376963
epoch: 43    train_acc: 0.8353591161977301     train_loss: 0.3717215556356349     valid_acc: 0.8738938054855594      valid_loss: 0.3325686069716394
epoch: 44    train_acc: 0.8289134436329865     train_loss: 0.37627262484083296     valid_acc: 0.8738938054855594      valid_loss: 0.33150342555172674
epoch: 45    train_acc: 0.827808471630511     train_loss: 0.3747386056415284     valid_acc: 0.874631268612403      valid_loss: 0.3303180515414494
epoch: 46    train_acc: 0.8405156536875069     train_loss: 0.37358659560728685     valid_acc: 0.8738938054855594      valid_loss: 0.3295410189305083
epoch: 47    train_acc: 0.8268876613174354     train_loss: 0.37219651565367345     valid_acc: 0.8738938054855594      valid_loss: 0.3286272970448553
epoch: 48    train_acc: 0.8405156535777378     train_loss: 0.3676454441543003     valid_acc: 0.874631268612403      valid_loss: 0.32759616869037483
epoch: 49    train_acc: 0.8305709021965224     train_loss: 0.37020481799627974     valid_acc: 0.8753687317392468      valid_loss: 0.3266178897875952
epoch: 50    train_acc: 0.8416206259534285     train_loss: 0.3619734564758357     valid_acc: 0.8761061948660904      valid_loss: 0.3255140779644339
epoch: 51    train_acc: 0.8399631677631076     train_loss: 0.36233928765600776     valid_acc: 0.8761061948660904      valid_loss: 0.32450826321027976
epoch: 52    train_acc: 0.836464088529513     train_loss: 0.36425657330516514     valid_acc: 0.8761061948660904      valid_loss: 0.3235265289084398
epoch: 53    train_acc: 0.8377532231214956     train_loss: 0.36640226593992326     valid_acc: 0.8761061948660904      valid_loss: 0.3226513630520981
epoch: 54    train_acc: 0.8360957641188831     train_loss: 0.3626259679952379     valid_acc: 0.8775811211197777      valid_loss: 0.3217725733564315
epoch: 55    train_acc: 0.8476979743490342     train_loss: 0.35531988256983116     valid_acc: 0.8783185842466213      valid_loss: 0.32100235352122325
epoch: 56    train_acc: 0.8401473299354919     train_loss: 0.3628951807487516     valid_acc: 0.8797935105003087      valid_loss: 0.3202187864653832
